Bypass Authorization
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;13;13;13;8;19;19;19;24;4;4;4;0;9;9;9;13;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;13;13;13;5;19;19;19;27;4;4;4;1;9;9;9;12;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;14;14;14;14;18;18;18;18;3;3;3;3;10;10;10;10;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;8;8;8;8;24;24;24;24;0;0;0;0;13;13;13;13;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;8;8;8;8;24;24;24;24;0;0;0;0;13;13;13;13;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;5;5;5;5;27;27;27;27;0;0;0;0;13;13;13;13;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;14;14;14;5;18;18;18;27;3;3;3;0;10;10;10;13;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;12;12;12;12;20;20;20;20;0;0;0;0;13;13;13;13;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;8;8;8;8;24;24;24;24;0;0;0;0;13;13;13;13;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;14;14;14;8;18;18;18;24;3;3;3;0;10;10;10;13;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;8;8;8;8;24;24;24;24;0;0;0;0;13;13;13;13;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;14;14;14;8;18;18;18;24;3;3;3;0;10;10;10;13;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;14;14;14;5;18;18;18;27;3;3;3;1;10;10;10;12;


SSRF
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;352;352;352;352;474;474;474;474;2;2;2;2;11;11;11;11;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;118;121;118;118;708;705;708;708;0;1;0;0;13;12;13;13;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;448;448;448;448;378;378;378;378;1;1;1;1;12;12;12;12;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;112;121;121;112;714;705;705;714;0;1;1;0;13;12;12;13;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;121;121;121;121;705;705;705;705;1;1;1;1;12;12;12;12;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;352;352;352;118;474;474;474;708;2;2;2;0;11;11;11;13;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;448;448;448;448;378;378;378;378;1;1;1;1;12;12;12;12;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;352;352;352;112;474;474;474;714;2;2;2;0;11;11;11;13;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;352;352;352;352;474;474;474;474;2;2;2;2;11;11;11;11;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;448;448;448;118;378;378;378;708;1;1;1;0;12;12;12;13;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;118;118;118;118;708;708;708;708;0;0;0;0;13;13;13;13;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;118;118;118;118;708;708;708;708;0;0;0;0;13;13;13;13;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;448;448;448;112;378;378;378;714;1;1;1;0;12;12;12;13;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;448;448;448;448;378;378;378;378;1;1;1;1;12;12;12;12;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;112;112;112;112;714;714;714;714;0;0;0;0;13;13;13;13;


