Bypass Authorization
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;127;127;127;48;179;179;179;258;53;53;53;9;167;167;167;211;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;288;288;288;288;18;18;18;18;142;142;142;142;78;78;78;78;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;288;288;288;288;18;18;18;18;142;142;142;142;78;78;78;78;


Transmission of Information in Cleartext
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;8;8;8;8;1;1;1;1;0;0;0;0;0;0;0;0;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;7;7;7;7;2;2;2;2;0;0;0;0;0;0;0;0;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;6;6;6;6;3;3;3;3;0;0;0;0;0;0;0;0;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;6;6;6;6;3;3;3;3;0;0;0;0;0;0;0;0;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;0;0;0;0;0;0;0;0;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;8;8;8;9;1;1;1;0;0;0;0;0;0;0;0;0;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;8;8;8;9;1;1;1;0;0;0;0;0;0;0;0;0;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;8;8;8;8;1;1;1;1;0;0;0;0;0;0;0;0;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;8;8;8;8;1;1;1;1;0;0;0;0;0;0;0;0;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;7;7;7;7;2;2;2;2;0;0;0;0;0;0;0;0;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;7;7;7;9;2;2;2;0;0;0;0;0;0;0;0;0;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;7;2;2;2;2;0;0;0;0;0;0;0;0;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;9;9;9;9;0;0;0;0;0;0;0;0;0;0;0;0;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;6;6;6;6;3;3;3;3;0;0;0;0;0;0;0;0;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;6;6;6;6;3;3;3;3;0;0;0;0;0;0;0;0;


Untrusted/Invalid TLS certificate
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;7;7;7;7;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;7;7;7;7;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;7;7;7;7;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;7;7;7;7;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;7;7;7;7;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;7;7;7;7;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;7;7;7;7;


Command Injection
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;99;99;99;99;163;163;163;163;0;0;0;0;125;125;125;125;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;99;99;99;99;163;163;163;163;0;0;0;0;125;125;125;125;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;99;99;99;99;163;163;163;163;0;0;0;0;125;125;125;125;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;99;99;99;99;163;163;163;163;0;0;0;0;125;125;125;125;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;159;159;159;99;103;103;103;163;80;80;80;0;45;45;45;125;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;22;22;22;22;240;240;240;240;0;0;0;0;125;125;125;125;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;19;19;19;19;243;243;243;243;0;0;0;0;125;125;125;125;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;19;21;21;19;243;241;241;243;0;19;19;0;125;106;106;125;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;159;159;159;19;103;103;103;243;80;80;80;0;45;45;45;125;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;22;22;22;22;240;240;240;240;0;0;0;0;125;125;125;125;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;22;22;22;22;240;240;240;240;0;0;0;0;125;125;125;125;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;159;159;159;22;103;103;103;240;80;80;80;0;45;45;45;125;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;21;21;21;21;241;241;241;241;19;19;19;19;106;106;106;106;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;159;159;159;159;103;103;103;103;80;80;80;80;45;45;45;45;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;159;159;159;159;103;103;103;103;80;80;80;80;45;45;45;45;


SQL Injection
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;170;170;170;170;329;329;329;329;9;9;9;9;347;347;347;347;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;170;170;170;74;329;329;329;425;9;9;9;5;347;347;347;351;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;170;170;170;123;329;329;329;376;9;9;9;0;347;347;347;356;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;180;180;180;180;319;319;319;319;54;54;54;54;302;302;302;302;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;241;241;241;170;258;258;258;329;157;157;157;9;199;199;199;347;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;74;74;74;74;425;425;425;425;5;5;5;5;351;351;351;351;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;123;123;123;123;376;376;376;376;0;0;0;0;356;356;356;356;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;180;180;180;180;319;319;319;319;54;54;54;54;302;302;302;302;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;241;241;241;241;258;258;258;258;157;157;157;157;199;199;199;199;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;123;123;123;123;376;376;376;376;0;0;0;0;356;356;356;356;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;180;180;180;74;319;319;319;425;54;54;54;5;302;302;302;351;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;241;241;241;74;258;258;258;425;157;157;157;5;199;199;199;351;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;180;180;180;123;319;319;319;376;54;54;54;0;302;302;302;356;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;241;241;241;123;258;258;258;376;157;157;157;0;199;199;199;356;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;241;241;241;180;258;258;258;319;157;157;157;54;199;199;199;302;


LDAP Injection
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;0;0;0;0;29;29;29;29;0;0;0;0;32;32;32;32;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;29;29;29;29;0;0;0;0;32;32;32;32;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;17;17;17;17;12;12;12;12;5;5;5;5;27;27;27;27;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;29;29;29;29;0;0;0;0;32;32;32;32;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;3;3;3;3;26;26;26;26;3;3;3;3;29;29;29;29;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;29;29;29;29;0;0;0;0;32;32;32;32;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;17;17;17;17;12;12;12;12;5;5;5;5;27;27;27;27;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;29;29;29;29;0;0;0;0;32;32;32;32;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;3;3;3;3;26;26;26;26;3;3;3;3;29;29;29;29;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;17;17;17;17;12;12;12;12;5;5;5;5;27;27;27;27;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;29;29;29;29;0;0;0;0;32;32;32;32;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;3;3;3;3;26;26;26;26;3;3;3;3;29;29;29;29;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;17;17;17;17;12;12;12;12;5;5;5;5;27;27;27;27;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;17;17;17;17;12;12;12;12;5;5;5;5;27;27;27;27;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;3;3;3;3;26;26;26;26;3;3;3;3;29;29;29;29;


XSS
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;301;301;301;301;147;147;147;147;179;179;179;179;93;93;93;93;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;301;301;301;121;147;147;147;327;179;179;179;2;93;93;93;270;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;301;301;301;177;147;147;147;271;179;179;179;0;93;93;93;272;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;301;301;301;301;147;147;147;147;179;179;179;179;93;93;93;93;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;301;301;269;269;147;147;179;179;179;179;121;121;93;93;151;151;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;194;194;121;121;254;254;327;327;44;44;2;2;228;228;270;270;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;194;177;177;177;254;271;271;271;44;0;0;0;228;272;272;272;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;194;194;194;83;254;254;254;365;44;44;44;45;228;228;228;227;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;269;269;269;269;179;179;179;179;121;121;121;121;151;151;151;151;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;177;177;177;121;271;271;271;327;0;0;0;2;272;272;272;270;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;121;121;121;121;327;327;327;327;2;2;2;2;270;270;270;270;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;269;269;269;121;179;179;179;327;121;121;121;2;151;151;151;270;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;177;177;177;177;271;271;271;271;0;0;0;0;272;272;272;272;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;269;269;269;177;179;179;179;271;121;121;121;0;151;151;151;272;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;269;269;269;269;179;179;179;179;121;121;121;121;151;151;151;151;


XPath Injection
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;1;1;1;1;21;21;21;21;0;0;0;0;21;21;21;21;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;2;2;2;2;20;20;20;20;0;0;0;0;21;21;21;21;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;22;22;22;22;0;0;0;0;21;21;21;21;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;4;4;4;4;18;18;18;18;3;3;3;3;18;18;18;18;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;7;15;15;15;15;13;13;13;13;8;8;8;8;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;2;2;2;2;20;20;20;20;0;0;0;0;21;21;21;21;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;1;1;1;1;21;21;21;21;0;0;0;0;21;21;21;21;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;4;4;4;4;18;18;18;18;3;3;3;3;18;18;18;18;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;1;15;15;15;21;13;13;13;0;8;8;8;21;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;2;2;2;2;20;20;20;20;0;0;0;0;21;21;21;21;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;4;4;4;2;18;18;18;20;3;3;3;0;18;18;18;21;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;2;15;15;15;20;13;13;13;0;8;8;8;21;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;4;4;4;4;18;18;18;18;3;3;3;3;18;18;18;18;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;7;15;15;15;15;13;13;13;13;8;8;8;8;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;7;7;7;4;15;15;15;18;13;13;13;3;8;8;8;18;


HTTP Response Splitting
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;2;2;2;2;


